:START_ID,:END_ID,:TYPE
m1,car1,HAS_MODEL
m1,car2,HAS_MODEL
m1,car3,HAS_MODEL
m1,car4,HAS_MODEL
m1,car5,HAS_MODEL
m1,car6,HAS_MODEL
m1,car7,HAS_MODEL
m1,car8,HAS_MODEL
m1,car9,HAS_MODEL
m1,car10,HAS_MODEL
m1,car11,HAS_MODEL
m2,car12,HAS_MODEL
m2,car13,HAS_MODEL
m2,car14,HAS_MODEL
m2,car15,HAS_MODEL
m2,car16,HAS_MODEL
m2,car17,HAS_MODEL
m2,car18,HAS_MODEL
m2,car19,HAS_MODEL
m2,car20,HAS_MODEL
m3,car21,HAS_MODEL
m3,car22,HAS_MODEL
m3,car23,HAS_MODEL
m3,car24,HAS_MODEL
m3,car25,HAS_MODEL
m3,car26,HAS_MODEL
m3,car27,HAS_MODEL
m3,car28,HAS_MODEL
m4,car29,HAS_MODEL
m4,car30,HAS_MODEL
m4,car31,HAS_MODEL
m4,car32,HAS_MODEL
m4,car33,HAS_MODEL
m4,car34,HAS_MODEL
m4,car35,HAS_MODEL
m4,car36,HAS_MODEL
m5,car37,HAS_MODEL
m5,car38,HAS_MODEL
m5,car39,HAS_MODEL
m5,car40,HAS_MODEL
m5,car41,HAS_MODEL
m5,car42,HAS_MODEL
m5,car43,HAS_MODEL
m6,car44,HAS_MODEL
m6,car45,HAS_MODEL
m6,car46,HAS_MODEL
m6,car47,HAS_MODEL
m6,car48,HAS_MODEL
m6,car49,HAS_MODEL
m6,car50,HAS_MODEL
