roundId,startupName,investmentType,amountUSD,date,year
round_0,BYJU’S,Private Equity,200000000.0,2020-01-09,2020
round_1,Shuttl,Series C,8048394.0,2020-01-13,2020
round_2,Mamaearth,Series B,18358860.0,2020-01-09,2020
round_3,https://www.wealthbucket.in/,Pre-Series A,3000000.0,2020-01-02,2020
round_4,Fashor,Seed,1800000.0,2020-01-02,2020
round_5,Pando,Series A,9000000.0,2020-01-13,2020
round_6,Zomato,Private Equity,150000000.0,2020-01-10,2020
round_7,Ecozen,Series A,6000000.0,2019-12-12,2019
round_8,CarDekho,Series D,70000000.0,2019-12-06,2019
round_9,Dhruva Space,Seed,50000000.0,2019-12-03,2019
round_10,Rivigo,Series F,20000000.0,2019-12-13,2019
round_11,Healthians,Series C,12000000.0,2019-12-17,2019
round_12,Licious,Series E,30000000.0,2019-12-16,2019
round_13,InCred,Debt,5900000.0,2019-12-16,2019
round_14,Trell,Seed,2000000.0,2019-12-14,2019
round_15,Rein Games,Seed,50000000.0,2019-12-11,2019
round_16,Lenskart.com,Series G+,231000000.0,2019-12-20,2019
round_17,Freshworks,Series G+,150000000.0,2019-11-13,2019
round_18,Misters,Series B,486000.0,2019-11-14,2019
round_19,Sunstone Eduversity Pvt. Ltd,Seed,1500000.0,2019-11-13,2019
round_20,Burger Singh,Venture,,2019-11-17,2019
round_21,Healthians,Series B,12000000.0,2019-11-18,2019
round_22,Ninjacart,Debt,26000000.0,2019-11-15,2019
round_23,Aye Finance,Debt,17411265.0,2019-11-20,2019
round_24,SuperGaming,Seed,1300000.0,2019-11-12,2019
round_25,Clumio,Series C,135000000.0,2019-11-20,2019
round_26,eBikeGo,Seed,300000.0,2019-11-11,2019
round_27,Digital Mall Asia,Seed,220000000.0,2019-11-19,2019
round_28,Medikabazaar,Series B,15800000.0,2019-11-18,2019
round_29,Vogo Automotive,Series B,283000000.0,2019-11-15,2019
round_30,Furtados School of Music,,200000000.0,2019-11-19,2019
round_31,Paytm,Other,1000000000.0,2019-11-25,2019
round_32,Dunzo,Series D,45000000.0,2019-10-04,2019
round_33,Udaan,Series D,585000000.0,2019-10-02,2019
round_34,The Man Company,Corporate Round,,2019-10-21,2019
round_35,FPL Technologies,Other,4500000.0,2019-09-05,2019
round_36,Cashflo,Series A,3300000.0,2019-09-04,2019
round_37,Digital F5,Private Equity,6000000.0,2019-09-04,2019
round_38,3rdFlix,Pre-Series A,5000000.0,2019-09-04,2019
round_39,75F,Series A,18000000.0,2019-09-04,2019
round_40,Myelin Foundry,Seed,1000000.0,2019-09-04,2019
round_41,Atomberg Technology,Series A,10000000.0,2019-09-04,2019
round_42,GOQii,Series C,450000000.0,2019-09-04,2019
round_43,Vyapar App,Series A,5000000.0,2019-09-03,2019
round_44,CarDekho,Series C,20000000.0,2019-08-01,2019
round_45,Progcap,Series A,5000000.0,2019-08-01,2019
round_46,MyPetrolPump,Seed,1600000.0,2019-08-01,2019
round_47,Alteria Capital,Venture,140000000.0,2019-08-01,2019
round_48,Pine Labs,Corporate Round,38080000.0,2019-08-01,2019
round_49,Meesho,Series D,125000000.0,2019-08-12,2019
round_50,Cars24,Series D,11000000.0,2019-08-13,2019
round_51,Uniphore,Series C,51000000.0,2019-08-13,2019
round_52,Zendrive,Series B,37000000.0,2019-08-23,2019
round_53,Lo! Foods,Seed,500000.0,2019-08-23,2019
round_54,Tala,Series D,110000000.0,2019-08-23,2019
round_55,INDwealth,Venture,15000000.0,2019-08-22,2019
round_56,HungerBox,Series C,6590000.0,2019-08-21,2019
round_57,AdmitKard,Seed,1000000.0,2019-08-23,2019
round_58,Mishry Reviews,Series A,,2019-08-19,2019
round_59,Grofers,Series F,70000000.0,2019-08-19,2019
round_60,Rapido Bike Taxi,Series B,3900000000.0,2019-08-27,2019
round_61,RenewBuy,Series B,19000000.0,2019-07-02,2019
round_62,Atlan,Pre-Series A,2500000.0,2019-07-02,2019
round_63,WizCounsel,Angel,145000.0,2019-07-01,2019
round_64,Ola Cabs,Series G+,1000000.0,2019-07-03,2019
round_65,Uniphore,Series C,38080000.0,2019-07-01,2019
round_66,Daalchini Technologies,Seed,500000.0,2019-07-04,2019
round_67,"""BYJU\\'S""",Private Equity,150000000.0,2019-07-10,2019
round_68,Moglix,Series D,60000000.0,2019-07-11,2019
round_69,Ezyhaul,Series B,16000000.0,2019-07-10,2019
round_70,Indus OS,Series B,5750000.0,2019-07-10,2019
round_71,HealthAssure,Series A,2500000.0,2019-07-10,2019
round_72,House of Msasaba,Series A,1000000.0,2019-07-09,2019
round_73,Board Infinity,Angel,319605.0,2019-07-08,2019
round_74,NoBroker,Series C,51000000.0,2019-06-05,2019
round_75,Bira91,Debt,10000000.0,2019-06-04,2019
round_76,FabHotels,,4889975.54,2019-06-03,2019
round_77,Avail Finance,Series A,9000000.0,2019-06-03,2019
round_78,BharatPe,Series B,75000000.0,2019-06-04,2019
round_79,Recykal,Pre-Series A,26000000.0,2019-06-04,2019
round_80,Agara Labs,Pre-Series A,2500000.0,2019-06-03,2019
round_81,Sistema.bio,,2739034.68,2019-06-06,2019
round_82,Chakr Innovation,Series A,26000000.0,2019-06-06,2019
round_83,Pratilipi,Series B,15109500.0,2019-06-06,2019
round_84,Bolo App,Seed,430200.0,2019-06-10,2019
round_85,OkCredit,Series A,15500000.0,2019-06-10,2019
round_86,Biz2Credit,Series B,52000000.0,2019-06-06,2019
round_87,Vogo Automotive Pvt. Ltd.,Debt,3584000.0,2019-06-08,2019
round_88,Leegality,Series A,3400000.0,2019-06-04,2019
round_89,Ola Electric,Series A,,2019-05-06,2019
round_90,Saahas Zero Waste,Series G+,868600.0,2019-05-06,2019
round_91,StyleDotMe,Bridge,,2019-05-05,2019
round_92,BlackBuck,Series D,150000000.0,2019-05-01,2019
