name,totalInvested,dealCount
"""Kedaraa Capital",19500000.0,1
& Others,1000000.0,1
021 Capita,3000000.0,1
100 Co-founders Lab and others.,175000.0,1
122 West Ventures,1500000.0,1
1Crowd,2700000.0,5
1Crowd (through crowd funding),200000.0,1
1Crowd (through crowdfunding),209000.0,1
3 undisclosed HNIs,2000000.0,1
3 undisclosed investors,0.0,0
3ONE4 Capital Advisors,3000000.0,1
3One4 Capital,0.0,0
3one4 Capital,16591375.0,3
3one4 Capital Advisors LLP,4000000.0,1
3one4 capital,0.0,0
500 Start-Ups,8000000.0,1
500 Startups,15115000.0,10
500 Startups & Other HNIs,1100000.0,1
50K Ventures,200000.0,1
50K Ventures & others,180000.0,1
50k Ventures,0.0,0
91SpringBoard,600000.0,1
91maker.com,300000.0,1
91springboard,2100000.0,1
A M Sikander,45000.0,1
A91 Partners,10000000.0,1
AB Kinnevik,60000000.0,1
ABB Technology Ventures,14000000.0,1
ABCOM Investments,430665.0,1
ABI-Showatech (India) Ltd,600000.0,1
ABM Knowledgeware,2200000.0,1
ADAG Reliance Private Equity,12000000.0,1
AECAL,120000.0,1
AET Fund,2000000.0,1
AJ Ventures and Jain International Trade Organisation (JITO),1000000.0,1
AL Nour International Holdings and Mark V Investments,600000.0,1
ANALEC,0.0,0
ANI Technologies Pvt. Ltd,7700000.0,1
APIS Partners,35000000.0,1
ASK Pravi,5000000.0,1
ASP Consulting,700000.0,1
AV Thomas Group,0.0,0
AVG Group,0.0,0
AVN Business Solutions,0.0,0
Aakrit Vaish,0.0,0
Aamir Khan,1200000.0,1
Aarin Capital,6970000.0,4
Aarin Capital & Others,0.0,0
Aarin Capital Partners,500000.0,1
Aarti Group,100000.0,1
Aaruha Technology Fund,0.0,0
Aavishkaar,10000000.0,2
Aavishkaar Venture Management,1000000.0,1
Aavya Ventures,0.0,0
Abaran Deep,0.0,0
Abhai S. Rao,300000.0,1
Abhay Singhal,300000.0,1
Abhijit Avasthi,0.0,0
Abhijit Bhandari,0.0,0
Abhinav Bindra,1000000.0,1
Abhinav Gupta,187000.0,1
Abhinav Mathur,0.0,0
Abhinav Patodia,350000.0,1
Abhinav Sinha,0.0,0
Abhishek Acharya,300000.0,1
Abhishek Agarwal,595000.0,1
Abhishek Bhatewara,0.0,0
Abhishek Goyal,250000.0,1
Abhishek Gupta,1200000.0,1
Abhishek Jain,223608.0,1
Abhishekh Goyal,0.0,0
Abraaj Group,150000000.0,1
Abstract Ventures,2100000.0,1
Abu Farhan Azmi,1000000.0,1
Accel,177000000.0,3
Accel (formerly known as Accel Partners),3000000.0,1
Accel India,107000000.0,3
Accel Partner,21000000.0,1
Accel Partners,865480000.0,58
Accel Partners & Others,400000000.0,1
Accel Partners & Raghunandan Gangappa,9100000.0,1
Accel Partners & existing investors,0.0,0
Accel Partners India,9150000.0,3
Accel Partners RNT Associates,675000.0,1
Accel Partners and G Raghunandan,12200000.0,1
Accel Partners and IDG Ventures,22000000.0,1
Accel Partners and Qualcomm,4889975.54,1
Accel Partners and Saama Capital,5000000.0,1
Accel Partners and Tiger Global Management.,18000000.0,1
Accel US,12000000.0,1
Accion,28000000.0,2
Accion Venture Lab,5800000.0,3
Accion Venture Labs,500000.0,1
Ackermans & van Haaren,15800000.0,1
Actis,82000000.0,1
Acumen Fund,5200000.0,4
Adam D\\xe2\\x80\\x99Angelo,0.0,0
Adi Saravanan,150000.0,1
Adil Allana,0.0,0
Aditya Agarwal,3200000.0,1
Aditya Aggarwal,0.0,0
Aditya Dev Sood,0.0,0
Aditya Malik & Others,437000.0,1
Aditya Singh,0.0,0
Aditya Vazirani,0.0,0
Aditya Verma,245000.0,1
Aditya Vij,300000.0,1
Adroitent Pvt. Ltd.,161000.0,1
AdvantEdge,0.0,0
AdvantEdge Partners,5000000.0,2
Adveq Management,60000000.0,1
Aegon NV,7600000.0,1
Aequs Group,0.0,0
Afsal Salu,0.0,0
Agarwal Movers Group,14900000.0,1
Agnus Capital,12100000.0,3
Ah! Ventures,400000.0,1
Aijaz Saleem,0.0,0
Ajai Chowdhary,1500000.0,1
Ajai Chowdhry,200000.0,1
Ajay Bhatia,3100000.0,1
Ajay Data,0.0,0
Ajay Data & other HNIs,0.0,0
Ajay Data & undisclosed HNIs,0.0,0
Ajay Lakhotia,0.0,0
Ajay Modani,223608.0,1
Ajay Nanavati,0.0,0
Ajay Piramal,0.0,0
Ajay Relan,1300000.0,2
Ajay Relan and Vinay Mittal,1000000.0,1
Ajay Sarupria,0.0,0
Ajeet Khurana,0.0,0
Ajeet Khurana & Others,100000.0,1
Ajeet Khurana & others,395000.0,1
Ajeet Khurana Jinesh Shah,250000.0,1
Ajit Surana,0.0,0
Ajith Nair,147000.0,1
Ajith Sukumaran,0.0,0
Ajmera Group of Companies,400000.0,1
Akash Agarwal,285000.0,1
Akash Bhavsar,0.0,0
Akash Garg,1000000.0,1
Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,2000000.0,1
Akusa Holdings,0.0,0
Al Dhaheri family,500000.0,1
Alagu Periyannan and Karthee Madasamy,0.0,0
Alex Chua,0.0,0
Alex Kuruvilla,250000.0,1
Alexander Bruehl,0.0,0
Alfa Capital,2000000.0,2
Alibaba,1000000000.0,3
Alibaba Group,680000000.0,1
Alibaba Pictures,35000000.0,1
Allcargo Logistics,17000000.0,1
Allen Blue,1700000.0,1
Alok Bajpai,100000.0,1
Alok Divatia,0.0,0
Alok Goel,0.0,0
Alok Goel & others,0.0,0
Alok Mittal,2350000.0,3
Alok Mittal & others,0.0,0
Alok Mittal and Sachin Bhatia,246000.0,1
Alok Rawat,1000000.0,1
Alok Sharma,0.0,0
Alok Srivastava,0.0,0
Aloke Bajpai,770000.0,1
Alpha Capital,34800000.0,2
"Alpha Mundi, and Lendahand",2739034.68,1
Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank,110000000.0,1
Alphard Maritime Group,2000000.0,1
Alteria Capital,9694000.0,3
