name,industry,subVertical,city,totalRaisedUSD,fundingRounds,firstFunded,lastFunded
"""BYJU\\'S""",Edtech,Education,Bangalore,150000000.0,1,2019-07-10,2019-07-10
#Fame,,,,10000000.0,1,2015-01-05,2015-01-05
121Policy,Consumer Internet & Tech,Online Insurance Platform,Kolkata,0.0,1,2016-11-25,2016-11-25
19th mile,Consumer Internet & Tech,Artificial intelligence-based sales acceleration software platform,Gurgaon,180000.0,1,2018-07-12,2018-07-12
1Crowd,Fintech,Startup Crowd-funding platform,Mumbai,0.0,1,2017-02-09,2017-02-09
1mg,Consumer Internet & Tech,Online Pharmacy Store,Gurgaon,40000000.0,4,2016-04-20,2018-04-27
1mg (Healthkartplus),Healthtech,,Gurgaon,6000000.0,1,2015-04-20,2015-04-20
20Dresses,,,,1000000.0,1,2015-02-13,2015-02-13
33Coupons,Other,,Kanpur,20000.0,1,2015-07-08,2015-07-08
360Ride,Consumer Internet & Tech,Ride Sharing platform,Bangalore,150000.0,1,2016-01-05,2016-01-05
3Dexter,Consumer Internet & Tech,3D Printing Solutions for Edu space,Delhi,150000.0,1,2016-10-18,2016-10-18
3HCare,Healthtech,Healthcare Service Provider,Delhi,1100000.0,2,2017-09-12,2018-09-04
3rdFlix,SaaS & Enterprise Tech,Education Technology,Hyderabad,5000000.0,1,2019-09-04,2019-09-04
48East,E-Commerce,Online Food Delivery Platform,Bangalore,500000.0,1,2017-02-10,2017-02-10
4tigo,Logistics & Transport,Truck Network company,Bangalore,10000000.0,1,2017-05-02,2017-05-02
5th Vital,Healthtech,Home diagnostics services provider,Bangalore,500000.0,1,2018-07-12,2018-07-12
6Degree,Consumer Internet & Tech,Tech-enabled Fashion Talent platform,Mumbai,200000.0,2,2015-11-11,2016-06-08
75F,IoT & Hardware,Building automation system,Burnsville,18000000.0,1,2019-09-04,2019-09-04
91SpringBoard,Consumer Internet & Tech,Co-working spaces,Delhi,0.0,2,2016-08-11,2017-09-21
99Games,Consumer Internet & Tech,Mobile Game Developer Studio,Udupi,0.0,1,2017-01-02,2017-01-02
99PerHour,Consumer Internet & Tech,Hyper-local Handyman Service provider,Chennai,300000.0,1,2017-01-26,2017-01-26
9Stacks,Consumer Internet & Tech,Online Poker Platform,Delhi,1500000.0,1,2017-12-19,2017-12-19
A&R Bon Vivants,Food & Beverage,Meat Retail Chain,Jaipur,1000000.0,1,2018-11-08,2018-11-08
ABI Health,Consumer Internet & Tech,Unified Digital Health Platform,Bangalore,1500000.0,1,2017-06-08,2017-06-08
AEON Learning,Consumer Internet & Tech,Education,Bangalore,3200000.0,1,2018-01-22,2018-01-22
AHA Taxis,Logistics & Transport,,Noida,0.0,1,2015-11-19,2015-11-19
AYE Finance,Consumer Internet & Tech,Micro Lending Platform,Delhi,6900000.0,1,2017-09-08,2017-09-08
AadharAPI.com,Consumer Internet & Tech,Aadhaar-based API provider,Pune,0.0,1,2017-11-02,2017-11-02
Aadyah,Consumer Internet & Tech,Defense Tech & Aerospace startup,Bangalore,1000000.0,1,2017-09-28,2017-09-28
Aahaa,E-Commerce,Office Products Super Store,Chennai,1000000.0,1,2016-03-04,2016-03-04
Aahaa Stores,E-Commerce,Online B2B store for office supplies,Chennai,1000000.0,1,2017-09-01,2017-09-01
Aarav UAV,Consumer Internet & Tech,unmanned aerial vehicles creator,Kanpur,0.0,1,2016-02-23,2016-02-23
Aasaanjobs,Consumer Internet & Tech,Online Recruitment Marketplace,Mumbai,6500000.0,2,2015-01-24,2016-02-15
Aashiyaan,Fintech,Housing Finance For Low-Income Families,Kolkata,2000000.0,1,2018-05-23,2018-05-23
Aavishkaar-Intellecap Group,Fintech,SME Funding,Mumbai,31000000.0,1,2018-11-22,2018-11-22
AbeRuk,E-Commerce,Online Marketplace for books,Bangalore,0.0,1,2016-07-21,2016-07-21
Abhibus,Logistics & Transport,,Hyderabad,0.0,1,2015-10-01,2015-10-01
Absentia,IoT & Hardware,,Bangalore,180000.0,1,2015-11-16,2015-11-16
Absentia VR,Consumer Internet & Tech,Virtual Reality Startup,Bangalore,1250000.0,1,2017-04-18,2017-04-18
Ace Turtle,Consumer Internet & Tech,Omni-channel web commerce solutions provider,Bangalore,5000000.0,2,2017-05-08,2017-09-22
Ace2three,Consumer Internet & Tech,Online Rummy playing Website,Hyderabad,73700000.0,1,2017-05-01,2017-05-01
Acko,Consumer Internet & Tech,Online Insurance Platform,Mumbai,12000000.0,1,2018-05-27,2018-05-27
ActOnMagic,Consumer Internet & Tech,Cloud Analytics and Management Products,Bangalore,125000.0,1,2016-02-12,2016-02-12
Actionable Analytics,Edtech,,Delhi,0.0,1,2015-08-10,2015-08-10
Active AI,Consumer Internet & Tech,AI based FinTech platform,Bangalore,8250000.0,1,2017-11-14,2017-11-14
Active.ai,Consumer Internet & Tech,Banking & Fintech Platform,Singapore,3500000.0,2,2016-05-04,2016-11-14
Actofit,Consumer Internet & Tech,Wearable Technology platform & devices,Mumbai,750000.0,1,2016-10-19,2016-10-19
Ad2pro,Consumer Internet & Tech,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,9700000.0,1,2018-03-06,2018-03-06
AdPushUp,Consumer Internet & Tech,Ad optimization Platform,Delhi,0.0,1,2016-08-08,2016-08-08
AdStringO,SaaS & Enterprise Tech,,Mumbai,350000.0,1,2015-06-11,2015-06-11
AdUrCup,Consumer Internet & Tech,Ad Network,Delhi,100000.0,1,2016-02-08,2016-02-08
AdWyze,SaaS & Enterprise Tech,,Bangalore,1000000.0,1,2015-06-29,2015-06-29
Address Health,Healthtech,Pediatric Primary Healthcare Network,Bangalore,1500000.0,1,2016-05-25,2016-05-25
AdmitKard,Edtech,University Admissions,Noida,1000000.0,1,2019-08-23,2019-08-23
Advanced Structures India,Other,Automotive Design and Engineering company,Bangalore,0.0,1,2016-04-21,2016-04-21
Advantage Club,Consumer Internet & Tech,mobile platform for corporate employee benefits,Gurgaon,400000.0,1,2016-02-19,2016-02-19
Advenio,Consumer Internet & Tech,Clinical Imaging Solution Provider,Chandigarh,100000.0,1,2016-08-24,2016-08-24
Adytude,Consumer Internet & Tech,Gamified Consumer Insights Portal,Delhi,1000000.0,1,2016-07-07,2016-07-07
Aequm,E-Commerce,Cloud ECommerce platform,Bangalore,1000000.0,1,2017-05-12,2017-05-12
AerMed,E-Commerce,Online Pharmacy,Mumbai,0.0,1,2016-11-18,2016-11-18
Affimity,Consumer Internet & Tech,Social Networking platform,Bangalore,1200000.0,1,2016-02-10,2016-02-10
Affordplan,Consumer Internet & Tech,Savings platform for Medical Expenses,Delhi,3500000.0,2,2016-05-04,2016-11-29
Agara Labs,AI & Data,Artificial Intelligence,Bangalore,2500000.0,1,2019-06-03,2019-06-03
AgentDesks,SaaS & Enterprise Tech,,New York,2950000.0,1,2015-10-21,2015-10-21
Agricxlab,AgriTech,Agri-tech,Mumbai,500000.0,1,2018-02-20,2018-02-20
Agrostar,Consumer Internet & Tech,Direct-to-Farmer Mobile-Based Retail platform,Pune,14000000.0,2,2015-08-13,2017-03-07
