investor_a,investor_b,timesCoInvested
Mumbai Angels,Ravikanth Reddy,1
SAIF Partners,Spring Canter Investment Ltd.,1
NPTK,Paytm,1
Paytm,Sabre Partners and Neoplux,1
NPTK,Sabre Partners and Neoplux,1
CapitalG,Sequoia,1
Accel,Sequoia,1
Accel,CapitalG,1
Rainforest Ventures,Sauce.vc,1
LetsVenture,Prime Venture Partners,1
PS1 Venture and GlobalLogic co-founder Rajul Garg,Prime Venture Partners,1
LetsVenture,PS1 Venture and GlobalLogic co-founder Rajul Garg,1
DG Daiwa Ventures,DG Incubation,1
Altimeter Capital,Sutter Hill Ventures,1
Ackermans & van Haaren,HealthQuad,1
Ackermans & van Haaren,Rebright Partners,1
Ackermans & van Haaren,Toppan Printing,1
HealthQuad,Rebright Partners,1
HealthQuad,Toppan Printing,1
Rebright Partners,Toppan Printing,1
Matrix Partners,Stellaris Venture Partners,1
Kalaari Capital,Matrix Partners,1
Kalaari Capital,Stellaris Venture Partners,1
Altimeter Capital,DST Global,1
Matrix Partners India,Sequoia India,1
Axilor Ventures,India Quotient,1
Azim Premji,Binny Bansal,1
FreshMenu),Rashmi Daga (founder,1
Rashmi Daga (founder,Raveen Sastry (co-founder,1
Myntra) and Mitesh Shah (finance chief,Rashmi Daga (founder,1
BookMyShow),Rashmi Daga (founder,1
FreshMenu),Raveen Sastry (co-founder,1
FreshMenu),Myntra) and Mitesh Shah (finance chief,1
BookMyShow),FreshMenu),1
Myntra) and Mitesh Shah (finance chief,Raveen Sastry (co-founder,1
BookMyShow),Raveen Sastry (co-founder,1
BookMyShow),Myntra) and Mitesh Shah (finance chief,1
IIFL Wealth,Lok Capital,1
DIG Investment Ab,Deshe Holdings,1
DIG Investment Ab,Samih Toukan and Hussam Khoury,1
Deshe Holdings,Samih Toukan and Hussam Khoury,1
Composite Capital Management,Sequoia Capital India,1
Composite Capital Management,Tiger Global Management,1
Sequoia Capital India,Tiger Global Management,2
Accel Partners and Qualcomm,Goldman Sachs,1
Pidilite Industries director Ajay Parekh,Triton Investment Advisors,1
DILA CAPITAL,Shell Foundation,1
Engie RDE Fund,Shell Foundation,1
EcoEnterprise Fund,Shell Foundation,1
EDFIMC (ElectriFI),Shell Foundation,1
Endeavor Catalyst Fund,Shell Foundation,1
CoCapital,Shell Foundation,1
Shell Foundation,Triodos,1
"Alpha Mundi, and Lendahand",Shell Foundation,1
DILA CAPITAL,Engie RDE Fund,1
DILA CAPITAL,EcoEnterprise Fund,1
DILA CAPITAL,EDFIMC (ElectriFI),1
DILA CAPITAL,Endeavor Catalyst Fund,1
CoCapital,DILA CAPITAL,1
DILA CAPITAL,Triodos,1
"Alpha Mundi, and Lendahand",DILA CAPITAL,1
EcoEnterprise Fund,Engie RDE Fund,1
EDFIMC (ElectriFI),Engie RDE Fund,1
Endeavor Catalyst Fund,Engie RDE Fund,1
CoCapital,Engie RDE Fund,1
Engie RDE Fund,Triodos,1
"Alpha Mundi, and Lendahand",Engie RDE Fund,1
EDFIMC (ElectriFI),EcoEnterprise Fund,1
EcoEnterprise Fund,Endeavor Catalyst Fund,1
CoCapital,EcoEnterprise Fund,1
EcoEnterprise Fund,Triodos,1
"Alpha Mundi, and Lendahand",EcoEnterprise Fund,1
EDFIMC (ElectriFI),Endeavor Catalyst Fund,1
CoCapital,EDFIMC (ElectriFI),1
EDFIMC (ElectriFI),Triodos,1
"Alpha Mundi, and Lendahand",EDFIMC (ElectriFI),1
CoCapital,Endeavor Catalyst Fund,1
Endeavor Catalyst Fund,Triodos,1
"Alpha Mundi, and Lendahand",Endeavor Catalyst Fund,1
CoCapital,Triodos,1
"Alpha Mundi, and Lendahand",CoCapital,1
"Alpha Mundi, and Lendahand",Triodos,1
Indian Angel Network and other angel investors,Innov8 founder Ritesh Malik,1
Indian Angel Network and other angel investors,"Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",1
Innov8 founder Ritesh Malik,"Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",1
Goldman Sachs Investment Partners and Silicon Valley-based Accel,Wellington,1
Goldman Sachs Investment Partners and Silicon Valley-based Accel,Sequoia Capital,1
B Capital,Goldman Sachs Investment Partners and Silicon Valley-based Accel,1
Goldman Sachs Investment Partners and Silicon Valley-based Accel,LightStreet,1
Goldman Sachs Investment Partners and Silicon Valley-based Accel,Sands Capital and International Finance Corporation,1
Sequoia Capital,Wellington,1
B Capital,Wellington,1
LightStreet,Wellington,1
Sands Capital and International Finance Corporation,Wellington,1
B Capital,Sequoia Capital,1
LightStreet,Sequoia Capital,1
Sands Capital and International Finance Corporation,Sequoia Capital,1
B Capital,LightStreet,1
B Capital,Sands Capital and International Finance Corporation,1
LightStreet,Sands Capital and International Finance Corporation,1
Korea Investment Partners,Vertex Ventures,1
Beehive Capital Advisor,Unilever,1
ABCOM Investments,Unilever,1
Parekh Marine Transport,Unilever,1
ABCOM Investments,Beehive Capital Advisor,1
Beehive Capital Advisor,Parekh Marine Transport,1
ABCOM Investments,Parekh Marine Transport,1
Hornbill Orchid India Fund,Orchid India,1
Chiratae Ventures (formerly IDG Ventures),Orchid India,1
3one4 Capital,Orchid India,1
Lasmer NV,Orchid India,1
Chiratae Ventures (formerly IDG Ventures),Hornbill Orchid India Fund,1
3one4 Capital,Hornbill Orchid India Fund,1
Hornbill Orchid India Fund,Lasmer NV,1
3one4 Capital,Chiratae Ventures (formerly IDG Ventures),1
Chiratae Ventures (formerly IDG Ventures),Lasmer NV,1
3one4 Capital,Lasmer NV,1
Sequoia India,Tiger Global Management,1
Accel Partners,Sequoia India,2
Accel Partners,Tiger Global Management,3
BAC Acquisitions,Unifi AIF,1
BAC Acquisitions,BRD Securities,1
BAC Acquisitions,Northern R Capital,1
BRD Securities,Unifi AIF,1
Northern R Capital,Unifi AIF,1
BRD Securities,Northern R Capital,1
021 Capita,Binny Bansal,1
EDBI,Sequoia Capital and Temasek Holdings,1
"Burda Principal Investments, and Sofina",Sequoia Capital and Temasek Holdings,1
"Burda Principal Investments, and Sofina",EDBI,1
LetsVenture,PitchRight Venture,1
91SpringBoard,LetsVenture,1
AL Nour International Holdings and Mark V Investments,LetsVenture,1
91SpringBoard,PitchRight Venture,1
AL Nour International Holdings and Mark V Investments,PitchRight Venture,1
91SpringBoard,AL Nour International Holdings and Mark V Investments,1
Hillhouse Capital,Sequoia India,1
Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank,Sequoia India,1
Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank,Hillhouse Capital,1
Iron Pillar,Perceptive Advisors,1
Iron Pillar,Romulus Capital and Kalaari Capital,1
Perceptive Advisors,Romulus Capital and Kalaari Capital,1
AET Fund,Info Edge,1
Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,Info Edge,1
AET Fund,Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,1
GREE Ventures,Venture Highway,1
Space Matrix,Venture Highway,1
Individual Investors,Venture Highway,1
GREE Ventures,Space Matrix,1
GREE Ventures,Individual Investors,1
Individual Investors,Space Matrix,1
"CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Norwest Venture Partners,1
DST Partners and RPS Ventures,Shunwei Capital,1
RB Investments,Singapore,1
Sistema Asia Fund,VC Samsung NEXT,1
Chiratae Ventures,Sistema Asia Fund,1
Inventus Capital,Sistema Asia Fund,1
Blume Ventures and Innoven Capital.,Sistema Asia Fund,1
Chiratae Ventures,VC Samsung NEXT,1
Inventus Capital,VC Samsung NEXT,1
Blume Ventures and Innoven Capital.,VC Samsung NEXT,1
Chiratae Ventures,Inventus Capital,1
Blume Ventures and Innoven Capital.,Chiratae Ventures,1
Blume Ventures and Innoven Capital.,Inventus Capital,1
Rajan Anandan from Google,Stellaris Venture Partners and Kalaari Capital,1
"Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Stellaris Venture Partners and Kalaari Capital,1
"Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Rajan Anandan from Google,1
Lakestar and Jungle Ventures,Softbank\\xe2\\x80\\x99s DeepCore.,1
Individual Investors,Paragon Partners,1
Caspian and Hivos-Triodos Fund,Cooperative Oikocredit,1
Sistema Asia Fund,Sistema JSFC and Tanncam Investment,1
Korea Investment Partners (KIP),Samsung and China-based CITIC Capital and others,1
Kalaari Capital and Private equity firm Multiples Alternate Asset Management,Tencent,1
CLP Holdings Group,Innogy,1
CLP Holdings Group,"\\xc3\\x98rstead, and Tenaska",1
Innogy,"\\xc3\\x98rstead, and Tenaska",1
Quotient,Shunwei Capital,1
Mayfield & Others,Shunwei Capital,1
Mayfield & Others,Quotient,1
Fosun RZ Capital,Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund,1
"Ventureast, and Endiya Partners.\\n\\n",Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund,1
