roundId,investor
round_0,Tiger Global Management
round_1,Susquehanna Growth Equity
round_2,Sequoia Capital India
round_3,Vinod Khatumal
round_4,Sprout Venture Partners
round_5,Chiratae Ventures
round_6,Ant Financial
round_7,Sathguru Catalyzer Advisors
round_8,Ping An Global Voyager Fund
round_9,Mumbai Angels
round_9,Ravikanth Reddy
round_10,SAIF Partners
round_10,Spring Canter Investment Ltd.
round_11,Paytm
round_11,NPTK
round_11,Sabre Partners and Neoplux
round_12,Vertex Growth Fund
round_14,Ruizheng Investment
round_15,Manipal Education and Medical Group (MEMG)
round_16,SoftBank Vision Fund
round_17,Sequoia
round_17,CapitalG
round_17,Accel
round_18,Sauce.vc
round_18,Rainforest Ventures
round_19,Prime Venture Partners
round_19,LetsVenture
round_19,PS1 Venture and GlobalLogic co-founder Rajul Garg
round_20,RB Investments
round_21,DG Daiwa Ventures
round_21,DG Incubation
round_22,Trifecta Capital Advisors
round_23,FinTech
round_24,Dream Incubator
round_25,Altimeter Capital
round_25,Sutter Hill Ventures
round_26,Startup Buddy
round_27,Amour Infrastructure
round_28,Ackermans & van Haaren
round_28,HealthQuad
round_28,Rebright Partners
round_28,Toppan Printing
round_29,Matrix Partners
round_29,Stellaris Venture Partners
round_29,Kalaari Capital
round_30,IAN Fund and DSG Consumer Partners
round_31,Vijay Shekhar Sharma
round_32,Lightbox
round_33,Altimeter Capital
round_33,DST Global
round_34,Ayushmann Khurana
round_35,Matrix Partners India
round_35,Sequoia India
round_36,SAIF Partners
round_37,TIW Private Equity
round_38,Exfinity Venture Partners
round_39,Breakthrough Energy Ventures
round_40,Endiya Partners
round_41,A91 Partners
round_42,Bennett Coleman and Company Ltd (BCCL)
round_43,India Quotient
round_43,Axilor Ventures
round_44,SC GG India Mobility Holdings LLC
round_45,Sequoia India
round_47,Azim Premji
round_47,Binny Bansal
round_48,Pine Labs Pte Ltd
round_49,Naspers
round_50,MS Dhoni
round_51,March Capital Partners
round_52,XL Innovate
round_53,Rashmi Daga (founder
round_53,FreshMenu)
round_53,Raveen Sastry (co-founder
round_53,Myntra) and Mitesh Shah (finance chief
round_53,BookMyShow)
round_54,RPS Ventures
round_55,Tiger Global Management
round_56,One97 Communications Ltd.
round_57,Growth DNA
round_58,Vir Sanghvi
round_59,Softbank Vision Fund
round_60,Westbridge Capital
round_61,Lok Capital
round_61,IIFL Wealth
round_62,WaterBridge Ventures
round_63,Kapil Dev
round_64,DIG Investment Ab
round_64,Deshe Holdings
round_64,Samih Toukan and Hussam Khoury
round_65,March Capital Partners
round_66,Artha Venture
round_67,Qatar Investment Authority
round_68,Composite Capital Management
round_68,Sequoia Capital India
round_68,Tiger Global Management
round_70,Ventureast
round_71,Blume Ventures
round_72,Binny Bansal
round_73,Multiple Angel Investors
round_74,General Atlantic
round_75,Anicut Capital
round_76,Goldman Sachs
round_76,Accel Partners and Qualcomm
round_77,Matrix Partners
round_78,Insight Partners
round_79,Triton Investment Advisors
round_79,Pidilite Industries director Ajay Parekh
round_80,Blume Ventures and RTP Global
round_81,Shell Foundation
round_81,DILA CAPITAL
round_81,Engie RDE Fund
round_81,EcoEnterprise Fund
round_81,EDFIMC (ElectriFI)
round_81,Endeavor Catalyst Fund
round_81,CoCapital
round_81,Triodos
round_81,"Alpha Mundi, and Lendahand"
round_82,IAN Fund
round_83,Qiming Venture Partners
round_84,Nexus Venture Partners
round_85,Tiger Global Management
round_86,WestBridge Capital
round_87,Alteria Capital
round_88,Mumbai Angels
round_89,Tata Sons
round_90,C4D Partners
round_91,Indian Angel Network and other angel investors
round_91,Innov8 founder Ritesh Malik
round_91,"Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana"
round_92,Goldman Sachs Investment Partners and Silicon Valley-based Accel
round_92,Wellington
round_92,Sequoia Capital
round_92,B Capital
round_92,LightStreet
round_92,Sands Capital and International Finance Corporation
round_93,Tiger Global Management
round_94,Sachin Bansal
round_95,Equanimity Ventures
round_96,Korea Investment Partners
round_96,Vertex Ventures
