investor,startup,roundId,investmentType,amountUSD,date,year
Tiger Global Management,BYJU’S,round_0,Private Equity,200000000.0,2020-01-09,2020
Susquehanna Growth Equity,Shuttl,round_1,Series C,8048394.0,2020-01-13,2020
Sequoia Capital India,Mamaearth,round_2,Series B,18358860.0,2020-01-09,2020
Vinod Khatumal,https://www.wealthbucket.in/,round_3,Pre-Series A,3000000.0,2020-01-02,2020
Sprout Venture Partners,Fashor,round_4,Seed,1800000.0,2020-01-02,2020
Chiratae Ventures,Pando,round_5,Series A,9000000.0,2020-01-13,2020
Ant Financial,Zomato,round_6,Private Equity,150000000.0,2020-01-10,2020
Sathguru Catalyzer Advisors,Ecozen,round_7,Series A,6000000.0,2019-12-12,2019
Ping An Global Voyager Fund,CarDekho,round_8,Series D,70000000.0,2019-12-06,2019
Mumbai Angels,Dhruva Space,round_9,Seed,50000000.0,2019-12-03,2019
Ravikanth Reddy,Dhruva Space,round_9,Seed,50000000.0,2019-12-03,2019
SAIF Partners,Rivigo,round_10,Series F,20000000.0,2019-12-13,2019
Spring Canter Investment Ltd.,Rivigo,round_10,Series F,20000000.0,2019-12-13,2019
Paytm,Healthians,round_11,Series C,12000000.0,2019-12-17,2019
NPTK,Healthians,round_11,Series C,12000000.0,2019-12-17,2019
Sabre Partners and Neoplux,Healthians,round_11,Series C,12000000.0,2019-12-17,2019
Vertex Growth Fund,Licious,round_12,Series E,30000000.0,2019-12-16,2019
Ruizheng Investment,Trell,round_14,Seed,2000000.0,2019-12-14,2019
Manipal Education and Medical Group (MEMG),Rein Games,round_15,Seed,50000000.0,2019-12-11,2019
SoftBank Vision Fund,Lenskart.com,round_16,Series G+,231000000.0,2019-12-20,2019
Sequoia,Freshworks,round_17,Series G+,150000000.0,2019-11-13,2019
CapitalG,Freshworks,round_17,Series G+,150000000.0,2019-11-13,2019
Accel,Freshworks,round_17,Series G+,150000000.0,2019-11-13,2019
Sauce.vc,Misters,round_18,Series B,486000.0,2019-11-14,2019
Rainforest Ventures,Misters,round_18,Series B,486000.0,2019-11-14,2019
Prime Venture Partners,Sunstone Eduversity Pvt. Ltd,round_19,Seed,1500000.0,2019-11-13,2019
LetsVenture,Sunstone Eduversity Pvt. Ltd,round_19,Seed,1500000.0,2019-11-13,2019
PS1 Venture and GlobalLogic co-founder Rajul Garg,Sunstone Eduversity Pvt. Ltd,round_19,Seed,1500000.0,2019-11-13,2019
RB Investments,Burger Singh,round_20,Venture,,2019-11-17,2019
DG Daiwa Ventures,Healthians,round_21,Series B,12000000.0,2019-11-18,2019
DG Incubation,Healthians,round_21,Series B,12000000.0,2019-11-18,2019
Trifecta Capital Advisors,Ninjacart,round_22,Debt,26000000.0,2019-11-15,2019
