startup,industry
BYJU’S,Edtech
Shuttl,Logistics & Transport
Mamaearth,E-Commerce
https://www.wealthbucket.in/,Fintech
Fashor,Fashion & Lifestyle
Pando,Logistics & Transport
Zomato,Healthtech
Ecozen,Consumer Internet & Tech
CarDekho,E-Commerce
Dhruva Space,Fashion & Lifestyle
Rivigo,Consumer Internet & Tech
Healthians,Food & Beverage
Licious,E-Commerce
InCred,Fintech
Trell,Media & Entertainment
Rein Games,Media & Entertainment
Lenskart.com,E-Commerce
Freshworks,SaaS & Enterprise Tech
Misters,Healthtech
Sunstone Eduversity Pvt. Ltd,Edtech
Burger Singh,Food & Beverage
Healthians,Healthtech
Ninjacart,Media & Entertainment
Aye Finance,Fintech
SuperGaming,Media & Entertainment
Clumio,SaaS & Enterprise Tech
eBikeGo,Logistics & Transport
Digital Mall Asia,E-Commerce
Medikabazaar,Healthtech
Vogo Automotive,Logistics & Transport
Furtados School of Music,Edtech
Paytm,Fintech
Dunzo,Other
Udaan,B2B & Industrial
The Man Company,Food & Beverage
FPL Technologies,Fintech
Cashflo,Fintech
Digital F5,Media & Entertainment
3rdFlix,SaaS & Enterprise Tech
75F,IoT & Hardware
Myelin Foundry,Consumer Internet & Tech
Atomberg Technology,Consumer Internet & Tech
GOQii,Healthtech
Vyapar App,SaaS & Enterprise Tech
Progcap,Fintech
MyPetrolPump,E-Commerce
Alteria Capital,Fintech
Pine Labs,Consumer Internet & Tech
Meesho,E-Commerce
Cars24,E-Commerce
Uniphore,Other
Zendrive,B2B & Industrial
Lo! Foods,Food & Beverage
Tala,Fintech
INDwealth,Fintech
HungerBox,Food & Beverage
AdmitKard,Edtech
Mishry Reviews,Consumer Internet & Tech
Grofers,E-Commerce
Rapido Bike Taxi,Logistics & Transport
RenewBuy,Fintech
Atlan,Consumer Internet & Tech
WizCounsel,SaaS & Enterprise Tech
Ola Cabs,Logistics & Transport
Uniphore,AI & Data
Daalchini Technologies,Food & Beverage
"""BYJU\\'S""",Edtech
Moglix,E-Commerce
Ezyhaul,Consumer Internet & Tech
Indus OS,Consumer Internet & Tech
HealthAssure,Healthtech
House of Msasaba,Fashion & Lifestyle
Board Infinity,Edtech
NoBroker,E-Commerce
Bira91,Food & Beverage
FabHotels,E-Commerce
Avail Finance,Fintech
BharatPe,Fintech
Recykal,CleanTech & Energy
Agara Labs,AI & Data
Sistema.bio,AgriTech
Chakr Innovation,CleanTech & Energy
Pratilipi,Media & Entertainment
Bolo App,Media & Entertainment
OkCredit,Fintech
Biz2Credit,Fintech
Vogo Automotive Pvt. Ltd.,Logistics & Transport
Leegality,Consumer Internet & Tech
Ola Electric,Logistics & Transport
Saahas Zero Waste,CleanTech & Energy
StyleDotMe,E-Commerce
BlackBuck,Logistics & Transport
Zenoti,SaaS & Enterprise Tech
Ather Energy,B2B & Industrial
FreshVnF,AgriTech
GlowRoad,E-Commerce
Kuvera,Fintech
Medlife,E-Commerce
Kabadiwala,E-Commerce
Tripoto,Media & Entertainment
Azah,Healthtech
Setu,Fintech
Toppr,Edtech
Craftsvilla,E-Commerce
Unacademy,Edtech
CleverTap,SaaS & Enterprise Tech
My Healthcare,E-Commerce
KrazyBee,E-Commerce
Increff,Consumer Internet & Tech
FleetX,Other
Zilingo,E-Commerce
