:START_ID,:END_ID,:TYPE,sharedEngine
car1,car3,COMPATIBLE_PLATFORM,EA888
car1,car4,COMPATIBLE_PLATFORM,EA888
car1,car5,COMPATIBLE_PLATFORM,EA888
car1,car6,COMPATIBLE_PLATFORM,EA888
car1,car7,COMPATIBLE_PLATFORM,EA888
car1,car8,COMPATIBLE_PLATFORM,EA888
car1,car9,COMPATIBLE_PLATFORM,EA888
car1,car10,COMPATIBLE_PLATFORM,EA888
car3,car4,COMPATIBLE_PLATFORM,EA888
car3,car5,COMPATIBLE_PLATFORM,EA888
car3,car6,COMPATIBLE_PLATFORM,EA888
car3,car7,COMPATIBLE_PLATFORM,EA888
car3,car8,COMPATIBLE_PLATFORM,EA888
car3,car9,COMPATIBLE_PLATFORM,EA888
car3,car10,COMPATIBLE_PLATFORM,EA888
car4,car5,COMPATIBLE_PLATFORM,EA888
car4,car6,COMPATIBLE_PLATFORM,EA888
car4,car7,COMPATIBLE_PLATFORM,EA888
car4,car8,COMPATIBLE_PLATFORM,EA888
car4,car9,COMPATIBLE_PLATFORM,EA888
car4,car10,COMPATIBLE_PLATFORM,EA888
car5,car6,COMPATIBLE_PLATFORM,EA888
car5,car7,COMPATIBLE_PLATFORM,EA888
car5,car8,COMPATIBLE_PLATFORM,EA888
car5,car9,COMPATIBLE_PLATFORM,EA888
car5,car10,COMPATIBLE_PLATFORM,EA888
car6,car7,COMPATIBLE_PLATFORM,EA888
car6,car8,COMPATIBLE_PLATFORM,EA888
car6,car9,COMPATIBLE_PLATFORM,EA888
car6,car10,COMPATIBLE_PLATFORM,EA888
car7,car8,COMPATIBLE_PLATFORM,EA888
car7,car9,COMPATIBLE_PLATFORM,EA888
car7,car10,COMPATIBLE_PLATFORM,EA888
car8,car9,COMPATIBLE_PLATFORM,EA888
car8,car10,COMPATIBLE_PLATFORM,EA888
car9,car10,COMPATIBLE_PLATFORM,EA888
car2,car11,COMPATIBLE_PLATFORM,EA211
car12,car15,COMPATIBLE_PLATFORM,EB2
car13,car14,COMPATIBLE_PLATFORM,EP6
car13,car16,COMPATIBLE_PLATFORM,EP6
car13,car17,COMPATIBLE_PLATFORM,EP6
car14,car16,COMPATIBLE_PLATFORM,EP6
car14,car17,COMPATIBLE_PLATFORM,EP6
car16,car17,COMPATIBLE_PLATFORM,EP6
car19,car20,COMPATIBLE_PLATFORM,FireFly
car22,car23,COMPATIBLE_PLATFORM,AR
car22,car26,COMPATIBLE_PLATFORM,AR
car23,car26,COMPATIBLE_PLATFORM,AR
car27,car28,COMPATIBLE_PLATFORM,GD
car29,car33,COMPATIBLE_PLATFORM,Kappa
car30,car34,COMPATIBLE_PLATFORM,Gamma
car31,car35,COMPATIBLE_PLATFORM,Nu
car32,car36,COMPATIBLE_PLATFORM,Theta
car39,car41,COMPATIBLE_PLATFORM,LYX
car39,car43,COMPATIBLE_PLATFORM,LYX
car41,car43,COMPATIBLE_PLATFORM,LYX
car40,car42,COMPATIBLE_PLATFORM,LGX
car46,car48,COMPATIBLE_PLATFORM,EcoBoost20
car46,car49,COMPATIBLE_PLATFORM,EcoBoost20
car46,car50,COMPATIBLE_PLATFORM,EcoBoost20
car48,car49,COMPATIBLE_PLATFORM,EcoBoost20
car48,car50,COMPATIBLE_PLATFORM,EcoBoost20
car49,car50,COMPATIBLE_PLATFORM,EcoBoost20
