:START_ID,:END_ID,:TYPE
car1,p1,SHARES_PART
car1,p9,SHARES_PART
car1,p3,SHARES_PART
car1,p4,SHARES_PART
car1,p5,SHARES_PART
car1,p6,SHARES_PART
car1,p7,SHARES_PART
car1,p8,SHARES_PART
car1,p10,SHARES_PART
car1,p49,SHARES_PART
car2,p2,SHARES_PART
car2,p3,SHARES_PART
car2,p4,SHARES_PART
car2,p5,SHARES_PART
car2,p6,SHARES_PART
car2,p7,SHARES_PART
car2,p8,SHARES_PART
car2,p10,SHARES_PART
car2,p49,SHARES_PART
car3,p1,SHARES_PART
car3,p9,SHARES_PART
car3,p3,SHARES_PART
car3,p4,SHARES_PART
car3,p5,SHARES_PART
car3,p6,SHARES_PART
car3,p7,SHARES_PART
car3,p8,SHARES_PART
car3,p10,SHARES_PART
car3,p49,SHARES_PART
car4,p1,SHARES_PART
car4,p9,SHARES_PART
car4,p3,SHARES_PART
car4,p4,SHARES_PART
car4,p5,SHARES_PART
car4,p6,SHARES_PART
car4,p7,SHARES_PART
car4,p8,SHARES_PART
car4,p10,SHARES_PART
car4,p49,SHARES_PART
car5,p1,SHARES_PART
car5,p9,SHARES_PART
car5,p3,SHARES_PART
car5,p4,SHARES_PART
car5,p5,SHARES_PART
car5,p6,SHARES_PART
car5,p7,SHARES_PART
car5,p8,SHARES_PART
car5,p10,SHARES_PART
car5,p49,SHARES_PART
car6,p1,SHARES_PART
car6,p9,SHARES_PART
car6,p3,SHARES_PART
car6,p4,SHARES_PART
car6,p5,SHARES_PART
car6,p6,SHARES_PART
car6,p7,SHARES_PART
car6,p8,SHARES_PART
car6,p10,SHARES_PART
car6,p49,SHARES_PART
car7,p1,SHARES_PART
car7,p9,SHARES_PART
car7,p3,SHARES_PART
car7,p4,SHARES_PART
car7,p5,SHARES_PART
car7,p6,SHARES_PART
car7,p7,SHARES_PART
car7,p8,SHARES_PART
car7,p10,SHARES_PART
car7,p49,SHARES_PART
car8,p1,SHARES_PART
car8,p9,SHARES_PART
car8,p3,SHARES_PART
car8,p4,SHARES_PART
car8,p5,SHARES_PART
car8,p6,SHARES_PART
car8,p7,SHARES_PART
car8,p8,SHARES_PART
car8,p10,SHARES_PART
car8,p49,SHARES_PART
car9,p1,SHARES_PART
car9,p9,SHARES_PART
car9,p3,SHARES_PART
car9,p4,SHARES_PART
car9,p5,SHARES_PART
car9,p6,SHARES_PART
car9,p7,SHARES_PART
car9,p8,SHARES_PART
car9,p10,SHARES_PART
car9,p49,SHARES_PART
car10,p1,SHARES_PART
car10,p9,SHARES_PART
car10,p3,SHARES_PART
car10,p4,SHARES_PART
car10,p5,SHARES_PART
car10,p6,SHARES_PART
car10,p7,SHARES_PART
car10,p8,SHARES_PART
car10,p10,SHARES_PART
car10,p49,SHARES_PART
car11,p2,SHARES_PART
car11,p3,SHARES_PART
car11,p4,SHARES_PART
car11,p5,SHARES_PART
car11,p6,SHARES_PART
car11,p7,SHARES_PART
car11,p8,SHARES_PART
car11,p10,SHARES_PART
car11,p49,SHARES_PART
car12,p11,SHARES_PART
car12,p13,SHARES_PART
car12,p14,SHARES_PART
car12,p15,SHARES_PART
car12,p16,SHARES_PART
car13,p12,SHARES_PART
car13,p13,SHARES_PART
car13,p14,SHARES_PART
car13,p15,SHARES_PART
car13,p16,SHARES_PART
car14,p12,SHARES_PART
car14,p13,SHARES_PART
car14,p14,SHARES_PART
car14,p15,SHARES_PART
car14,p16,SHARES_PART
car15,p11,SHARES_PART
car15,p13,SHARES_PART
car15,p14,SHARES_PART
car15,p15,SHARES_PART
car15,p16,SHARES_PART
car16,p12,SHARES_PART
car16,p13,SHARES_PART
car16,p14,SHARES_PART
car16,p15,SHARES_PART
car16,p16,SHARES_PART
car17,p12,SHARES_PART
car17,p13,SHARES_PART
car17,p14,SHARES_PART
car17,p15,SHARES_PART
car17,p16,SHARES_PART
car18,p17,SHARES_PART
car18,p16,SHARES_PART
car19,p18,SHARES_PART
car19,p16,SHARES_PART
car20,p18,SHARES_PART
car20,p16,SHARES_PART
car21,p19,SHARES_PART
car21,p22,SHARES_PART
car21,p23,SHARES_PART
car21,p24,SHARES_PART
car21,p25,SHARES_PART
car21,p26,SHARES_PART
car22,p20,SHARES_PART
car22,p22,SHARES_PART
car22,p23,SHARES_PART
car22,p24,SHARES_PART
car22,p25,SHARES_PART
car22,p26,SHARES_PART
car23,p20,SHARES_PART
car23,p22,SHARES_PART
car23,p23,SHARES_PART
car23,p24,SHARES_PART
car23,p25,SHARES_PART
car23,p26,SHARES_PART
car24,p19,SHARES_PART
car24,p22,SHARES_PART
car24,p23,SHARES_PART
car24,p24,SHARES_PART
car24,p25,SHARES_PART
car24,p26,SHARES_PART
car25,p20,SHARES_PART
car25,p22,SHARES_PART
car25,p23,SHARES_PART
car25,p24,SHARES_PART
car25,p25,SHARES_PART
car25,p26,SHARES_PART
car26,p20,SHARES_PART
car26,p22,SHARES_PART
car26,p23,SHARES_PART
car26,p24,SHARES_PART
car26,p25,SHARES_PART
car26,p26,SHARES_PART
car27,p21,SHARES_PART
car27,p22,SHARES_PART
car27,p23,SHARES_PART
car27,p24,SHARES_PART
car27,p25,SHARES_PART
car27,p26,SHARES_PART
car28,p21,SHARES_PART
car28,p22,SHARES_PART
car28,p23,SHARES_PART
car28,p24,SHARES_PART
car28,p25,SHARES_PART
car28,p26,SHARES_PART
car29,p27,SHARES_PART
car29,p31,SHARES_PART
car29,p32,SHARES_PART
car29,p33,SHARES_PART
car29,p50,SHARES_PART
car30,p28,SHARES_PART
car30,p31,SHARES_PART
car30,p32,SHARES_PART
car30,p33,SHARES_PART
car30,p50,SHARES_PART
car31,p29,SHARES_PART
car31,p31,SHARES_PART
car31,p32,SHARES_PART
car31,p33,SHARES_PART
car31,p50,SHARES_PART
car32,p30,SHARES_PART
car32,p31,SHARES_PART
car32,p32,SHARES_PART
car32,p33,SHARES_PART
car32,p50,SHARES_PART
car33,p27,SHARES_PART
car33,p31,SHARES_PART
car33,p32,SHARES_PART
car33,p33,SHARES_PART
car33,p50,SHARES_PART
car34,p28,SHARES_PART
car34,p31,SHARES_PART
car34,p32,SHARES_PART
car34,p33,SHARES_PART
car34,p50,SHARES_PART
car35,p29,SHARES_PART
car35,p31,SHARES_PART
car35,p32,SHARES_PART
car35,p33,SHARES_PART
car35,p50,SHARES_PART
car36,p30,SHARES_PART
car36,p31,SHARES_PART
car36,p32,SHARES_PART
car36,p33,SHARES_PART
car36,p50,SHARES_PART
car37,p34,SHARES_PART
car37,p38,SHARES_PART
car37,p39,SHARES_PART
car37,p40,SHARES_PART
car38,p35,SHARES_PART
car38,p38,SHARES_PART
car38,p39,SHARES_PART
car38,p40,SHARES_PART
